"class","zipped_size","unzipped_size","label"
"quoted_deflate_zip64_extra",14203782,436330032996264,""
"quoted_deflate_zip64_extra",21305673,977183946117949,""
"quoted_deflate_zip64_extra",31958509,2191838394914841,""
"quoted_deflate_zip64_extra",47937764,4921410894584081,""
"quoted_deflate_zip64_extra",71906647,11057848951832928,""
"quoted_deflate_zip64_extra",107859970,24857183635669416,""
"quoted_deflate_zip64_extra",161789956,55894211983960480,""
"quoted_deflate_zip64_extra",242684934,125710311660149440,""
"quoted_deflate_zip64_extra",364027401,282770715806373728,""
"quoted_deflate_zip64_extra",546041102,633716373057095424,""
"quoted_deflate_zip64_extra",819061653,1419721667720560128,""
"quoted_deflate_zip64_extra",1228592480,3185179135599805952,""
"quoted_deflate_zip64_extra",1842888720,7152876764189534208,""
"quoted_bzip2_extra",242,183596940,""
"quoted_bzip2_extra",356,458992350,""
"quoted_bzip2_extra",534,1101581640,""
"quoted_bzip2_extra",826,2753954100,""
"quoted_bzip2_extra",1264,6609489840,""
"quoted_bzip2_extra",1894,15146747550,""
"quoted_bzip2_extra",2834,34332627780,""
"quoted_bzip2_extra",4258,78028699500,""
"quoted_bzip2_extra",5814,146189063475,""
"quoted_bzip2_extra",5960,153670638780,""
"quoted_bzip2_extra",7472,230505958170,""
"quoted_bzip2_extra",9740,345758937255,""
"quoted_bzip2_extra",13100,516504091455,""
"quoted_bzip2_extra",18224,776890451610,""
"quoted_bzip2_extra",25868,1165335677415,""
"quoted_bzip2_extra",37376,1750137830550,""
"quoted_bzip2_extra",54596,2625206745825,""
"quoted_bzip2_extra",80384,3935675804310,""
"quoted_bzip2_extra",119210,5903513706465,""
"quoted_bzip2_extra",155846,7721949598695,""
"quoted_bzip2_zip64_extra",350,183596940,""
"quoted_bzip2_zip64_extra",560,642589290,""
"quoted_bzip2_zip64_extra",834,1652372460,""
"quoted_bzip2_zip64_extra",1254,4130931150,""
"quoted_bzip2_zip64_extra",1884,9914234760,""
"quoted_bzip2_zip64_extra",2820,23133214440,""
"quoted_bzip2_zip64_extra",4258,54069298830,""
"quoted_bzip2_zip64_extra",6404,124662322260,""
"quoted_bzip2_zip64_extra",9604,282739287600,""
"quoted_bzip2_zip64_extra",14416,639055048905,""
"quoted_bzip2_zip64_extra",21620,1439950800420,""
"quoted_bzip2_zip64_extra",32436,3245075914500,""
"quoted_bzip2_zip64_extra",48652,7306240227300,""
"quoted_bzip2_zip64_extra",72980,16447715466840,""
"quoted_bzip2_zip64_extra",109472,37020027989250,""
"quoted_bzip2_zip64_extra",164208,83315511085005,""
"quoted_bzip2_zip64_extra",246312,187491490089750,""
"quoted_bzip2_zip64_extra",322432,313350864398550,""
"quoted_bzip2_zip64_extra",415719,470038053973740,""
"quoted_bzip2_zip64_extra",555649,705067998523961,""
"quoted_bzip2_zip64_extra",765544,1057612915349291,""
"quoted_bzip2_zip64_extra",1080387,1586431130399852,""
"quoted_bzip2_zip64_extra",1552651,2379657613163128,""
"quoted_bzip2_zip64_extra",2261047,3569497337308043,""
"quoted_bzip2_zip64_extra",3323641,5354256923525415,""
"quoted_bzip2_zip64_extra",4917532,8031396302851472,""
"quoted_bzip2_zip64_extra",7308369,12047106211653124,""
"quoted_bzip2_zip64_extra",10894624,18070670235043036,""
"quoted_bzip2_zip64_extra",16274007,27106017109940468,""
"quoted_bzip2_zip64_extra",24343081,40659036582474056,""
"quoted_bzip2_zip64_extra",36446692,60988565791274432,""
"quoted_bzip2_zip64_extra",54602109,91482860444287552,""
"quoted_bzip2_zip64_extra",81835234,137224301583994688,""
"quoted_bzip2_zip64_extra",122684922,205836464133367936,""
"quoted_bzip2_zip64_extra",183959454,308754707957427840,""
"quoted_bzip2_zip64_extra",275871252,463132073693517696,""
"quoted_bzip2_zip64_extra",413738949,694698122297652480,""
"quoted_bzip2_zip64_extra",620540494,1042047194364041856,""
"quoted_bzip2_zip64_extra",930742812,1563070803303438848,""
"quoted_bzip2_zip64_extra",1396046289,2344606216712534016,""
"quoted_bzip2_zip64_extra",2094001504,3516909335986364928,""
"42_nonrec",42374,558432,"42.zip"
"42_rec",42374,4507981343026016,"42.zip"
"full_deflate",42374,9636541929,"overlap.zip"
"quoted_deflate",42374,5461307620,"zbsm.zip"
"quoted_deflate",9893525,281395456244934,"zblg.zip"
"quoted_deflate_zip64",45876952,4507981427706459,"zbxl.zip"
"quoted_bzip2_extra",155846,7721949598695,"zbbz2.zip"
